nohup: ignoring input
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:171: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
Using device: cuda:0
Loading data...
Classes: ['browsing', 'chat', 'email', 'ftp', 'p2p', 'streaming', 'voip']
Train samples: 13281, Val: 1383, Test: 1384
Number of classes: 7

Training MobileNetV2
  Parameters: 2.23M (trainable: 2.23M)
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:115: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
  Epoch 33/50: Loss=0.4570, Train Acc=99.74%, Val Acc=97.69%
  Epoch 34/50: Loss=0.4563, Train Acc=99.71%, Val Acc=98.19%
  Epoch 35/50: Loss=0.4545, Train Acc=99.77%, Val Acc=98.26%
  Epoch 36/50: Loss=0.4535, Train Acc=99.81%, Val Acc=98.19%
  Epoch 37/50: Loss=0.4515, Train Acc=99.90%, Val Acc=98.12%
  Epoch 38/50: Loss=0.4512, Train Acc=99.88%, Val Acc=98.12%
  Epoch 39/50: Loss=0.4505, Train Acc=99.93%, Val Acc=97.98%
  Epoch 40/50: Loss=0.4500, Train Acc=99.93%, Val Acc=97.98%
  Epoch 41/50: Loss=0.4505, Train Acc=99.91%, Val Acc=98.12%
  Epoch 42/50: Loss=0.4505, Train Acc=99.90%, Val Acc=98.12%
  Epoch 43/50: Loss=0.4496, Train Acc=99.96%, Val Acc=98.19%
  Epoch 44/50: Loss=0.4487, Train Acc=99.97%, Val Acc=97.98%
  Epoch 45/50: Loss=0.4491, Train Acc=99.97%, Val Acc=97.90%
  Epoch 46/50: Loss=0.4490, Train Acc=99.97%, Val Acc=97.98%
  Epoch 47/50: Loss=0.4492, Train Acc=99.96%, Val Acc=97.83%
  Epoch 48/50: Loss=0.4492, Train Acc=99.95%, Val Acc=98.12%
  Epoch 49/50: Loss=0.4500, Train Acc=99.91%, Val Acc=98.05%
