nohup: ignoring input
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:171: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
Using device: cuda:0
Loading data...
Classes: ['browsing', 'chat', 'email', 'ftp', 'p2p', 'streaming', 'voip']
Train samples: 13281, Val: 1383, Test: 1384
Number of classes: 7

Training MobileNetV2
  Parameters: 2.23M (trainable: 2.23M)
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:115: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
  Epoch 33/50: Loss=0.4588, Train Acc=99.65%, Val Acc=98.05%
  Epoch 34/50: Loss=0.4584, Train Acc=99.65%, Val Acc=97.98%
  Epoch 35/50: Loss=0.4554, Train Acc=99.77%, Val Acc=98.12%
  Epoch 36/50: Loss=0.4560, Train Acc=99.74%, Val Acc=98.12%
  Epoch 37/50: Loss=0.4537, Train Acc=99.83%, Val Acc=98.26%
  Epoch 38/50: Loss=0.4528, Train Acc=99.88%, Val Acc=98.34%
  Epoch 39/50: Loss=0.4521, Train Acc=99.89%, Val Acc=98.34%
  Epoch 40/50: Loss=0.4521, Train Acc=99.88%, Val Acc=98.19%
  Epoch 41/50: Loss=0.4518, Train Acc=99.89%, Val Acc=98.19%
  Epoch 42/50: Loss=0.4514, Train Acc=99.91%, Val Acc=98.05%
  Epoch 43/50: Loss=0.4510, Train Acc=99.93%, Val Acc=98.12%
  Epoch 44/50: Loss=0.4513, Train Acc=99.91%, Val Acc=98.26%
  Epoch 45/50: Loss=0.4511, Train Acc=99.93%, Val Acc=98.12%
  Epoch 46/50: Loss=0.4510, Train Acc=99.92%, Val Acc=98.19%
  Epoch 47/50: Loss=0.4508, Train Acc=99.92%, Val Acc=98.26%
  Epoch 48/50: Loss=0.4507, Train Acc=99.93%, Val Acc=98.05%
  Epoch 49/50: Loss=0.4507, Train Acc=99.92%, Val Acc=98.12%
  Epoch 50/50: Loss=0.4505, Train Acc=99.93%, Val Acc=98.19%
  Best Val Acc: 98.34%, Test Acc: 97.54%
  Training Time: 4.9 minutes

Training EfficientNet-Lite0
  Parameters: 3.38M (trainable: 3.38M)
  Epoch 1/50: Loss=1.8497, Train Acc=57.74%, Val Acc=78.02%
  Epoch 2/50: Loss=0.9588, Train Acc=77.60%, Val Acc=84.45%
  Epoch 3/50: Loss=0.8076, Train Acc=84.72%, Val Acc=90.74%
  Epoch 4/50: Loss=0.7178, Train Acc=88.87%, Val Acc=92.34%
  Epoch 5/50: Loss=0.6523, Train Acc=92.19%, Val Acc=92.62%
  Epoch 6/50: Loss=0.6020, Train Acc=94.63%, Val Acc=95.73%
  Epoch 7/50: Loss=0.5681, Train Acc=96.23%, Val Acc=95.73%
  Epoch 8/50: Loss=0.5628, Train Acc=96.40%, Val Acc=95.88%
  Epoch 9/50: Loss=0.5399, Train Acc=97.21%, Val Acc=96.17%
  Epoch 10/50: Loss=0.5203, Train Acc=97.94%, Val Acc=96.82%
  Epoch 11/50: Loss=0.5043, Train Acc=98.56%, Val Acc=96.67%
  Epoch 12/50: Loss=0.5098, Train Acc=98.19%, Val Acc=96.31%
  Epoch 13/50: Loss=0.5073, Train Acc=98.31%, Val Acc=96.67%
  Epoch 14/50: Loss=0.5066, Train Acc=98.17%, Val Acc=96.10%
  Epoch 15/50: Loss=0.4879, Train Acc=98.87%, Val Acc=97.11%
  Epoch 16/50: Loss=0.4896, Train Acc=98.80%, Val Acc=96.67%
  Epoch 17/50: Loss=0.4963, Train Acc=98.43%, Val Acc=96.31%
  Epoch 18/50: Loss=0.4987, Train Acc=98.45%, Val Acc=96.60%
  Epoch 19/50: Loss=0.5018, Train Acc=98.34%, Val Acc=95.59%
  Epoch 20/50: Loss=0.4910, Train Acc=98.46%, Val Acc=96.60%
  Epoch 21/50: Loss=0.4969, Train Acc=98.40%, Val Acc=97.25%
  Epoch 22/50: Loss=0.4786, Train Acc=99.01%, Val Acc=97.04%
  Epoch 23/50: Loss=0.4795, Train Acc=98.80%, Val Acc=96.89%
  Epoch 24/50: Loss=0.4757, Train Acc=99.12%, Val Acc=97.69%
  Epoch 25/50: Loss=0.4677, Train Acc=99.34%, Val Acc=96.89%
  Epoch 26/50: Loss=0.4622, Train Acc=99.54%, Val Acc=96.82%
  Epoch 27/50: Loss=0.4596, Train Acc=99.62%, Val Acc=97.40%
  Epoch 28/50: Loss=0.4577, Train Acc=99.69%, Val Acc=97.04%
  Epoch 29/50: Loss=0.4586, Train Acc=99.65%, Val Acc=97.54%
  Epoch 30/50: Loss=0.4560, Train Acc=99.76%, Val Acc=97.40%
  Epoch 31/50: Loss=0.4527, Train Acc=99.85%, Val Acc=97.83%
  Epoch 32/50: Loss=0.4519, Train Acc=99.85%, Val Acc=97.76%
  Epoch 33/50: Loss=0.4510, Train Acc=99.89%, Val Acc=97.90%
  Epoch 34/50: Loss=0.4500, Train Acc=99.93%, Val Acc=97.98%
  Epoch 35/50: Loss=0.4485, Train Acc=99.98%, Val Acc=97.90%
  Epoch 36/50: Loss=0.4483, Train Acc=99.98%, Val Acc=97.98%
  Epoch 37/50: Loss=0.4484, Train Acc=99.96%, Val Acc=97.90%
  Epoch 38/50: Loss=0.4485, Train Acc=99.98%, Val Acc=98.12%
  Epoch 39/50: Loss=0.4480, Train Acc=99.99%, Val Acc=97.90%
  Epoch 40/50: Loss=0.4476, Train Acc=100.00%, Val Acc=97.83%
  Epoch 41/50: Loss=0.4479, Train Acc=99.96%, Val Acc=97.83%
  Epoch 42/50: Loss=0.4483, Train Acc=99.96%, Val Acc=97.90%
  Epoch 43/50: Loss=0.4477, Train Acc=99.99%, Val Acc=97.61%
  Epoch 44/50: Loss=0.4473, Train Acc=100.00%, Val Acc=97.69%
  Epoch 45/50: Loss=0.4481, Train Acc=99.96%, Val Acc=97.61%
  Epoch 46/50: Loss=0.4475, Train Acc=99.98%, Val Acc=97.69%
  Epoch 47/50: Loss=0.4474, Train Acc=100.00%, Val Acc=97.90%
  Epoch 48/50: Loss=0.4472, Train Acc=100.00%, Val Acc=97.76%
  Epoch 49/50: Loss=0.4472, Train Acc=100.00%, Val Acc=97.90%
  Epoch 50/50: Loss=0.4474, Train Acc=99.98%, Val Acc=97.76%
  Best Val Acc: 98.12%, Test Acc: 97.33%
  Training Time: 2.8 minutes

Training RepVit-M0.9
  Parameters: 4.72M (trainable: 4.72M)
  Epoch 1/50: Loss=1.1184, Train Acc=70.82%, Val Acc=79.54%
  Epoch 2/50: Loss=0.8508, Train Acc=81.80%, Val Acc=81.71%
  Epoch 3/50: Loss=0.7604, Train Acc=85.92%, Val Acc=89.52%
  Epoch 4/50: Loss=0.6743, Train Acc=90.15%, Val Acc=89.15%
  Epoch 5/50: Loss=0.6204, Train Acc=92.65%, Val Acc=94.79%
  Epoch 6/50: Loss=0.5579, Train Acc=95.78%, Val Acc=94.94%
  Epoch 7/50: Loss=0.5371, Train Acc=96.63%, Val Acc=96.31%
  Epoch 8/50: Loss=0.5350, Train Acc=96.58%, Val Acc=96.38%
  Epoch 9/50: Loss=0.5144, Train Acc=97.43%, Val Acc=96.24%
  Epoch 10/50: Loss=0.5006, Train Acc=98.00%, Val Acc=96.89%
  Epoch 11/50: Loss=0.5027, Train Acc=97.95%, Val Acc=96.89%
  Epoch 12/50: Loss=0.4956, Train Acc=98.21%, Val Acc=97.25%
  Epoch 13/50: Loss=0.4913, Train Acc=98.42%, Val Acc=97.54%
  Epoch 14/50: Loss=0.4924, Train Acc=98.37%, Val Acc=96.60%
  Epoch 15/50: Loss=0.4874, Train Acc=98.58%, Val Acc=97.54%
  Epoch 16/50: Loss=0.4810, Train Acc=98.73%, Val Acc=97.04%
  Epoch 17/50: Loss=0.4792, Train Acc=98.86%, Val Acc=97.69%
  Epoch 18/50: Loss=0.4777, Train Acc=98.85%, Val Acc=97.98%
  Epoch 19/50: Loss=0.4732, Train Acc=99.07%, Val Acc=97.69%
  Epoch 20/50: Loss=0.4711, Train Acc=99.10%, Val Acc=97.54%
  Epoch 21/50: Loss=0.4690, Train Acc=99.26%, Val Acc=97.69%
  Epoch 22/50: Loss=0.4687, Train Acc=99.30%, Val Acc=97.90%
  Epoch 23/50: Loss=0.4699, Train Acc=99.17%, Val Acc=97.90%
  Epoch 24/50: Loss=0.4678, Train Acc=99.21%, Val Acc=97.69%
  Epoch 25/50: Loss=0.4631, Train Acc=99.47%, Val Acc=97.76%
  Epoch 26/50: Loss=0.4623, Train Acc=99.45%, Val Acc=97.54%
  Epoch 27/50: Loss=0.4652, Train Acc=99.28%, Val Acc=97.83%
  Epoch 28/50: Loss=0.4604, Train Acc=99.51%, Val Acc=97.90%
  Epoch 29/50: Loss=0.4599, Train Acc=99.53%, Val Acc=98.05%
  Epoch 30/50: Loss=0.4576, Train Acc=99.58%, Val Acc=98.19%
  Epoch 31/50: Loss=0.4570, Train Acc=99.63%, Val Acc=98.26%
  Epoch 32/50: Loss=0.4546, Train Acc=99.74%, Val Acc=98.19%
  Epoch 33/50: Loss=0.4537, Train Acc=99.76%, Val Acc=98.19%
  Epoch 34/50: Loss=0.4535, Train Acc=99.75%, Val Acc=98.12%
  Epoch 35/50: Loss=0.4526, Train Acc=99.77%, Val Acc=98.34%
  Epoch 36/50: Loss=0.4515, Train Acc=99.84%, Val Acc=98.19%
  Epoch 37/50: Loss=0.4507, Train Acc=99.87%, Val Acc=98.19%
  Epoch 38/50: Loss=0.4506, Train Acc=99.86%, Val Acc=98.34%
  Epoch 39/50: Loss=0.4500, Train Acc=99.92%, Val Acc=98.34%
  Epoch 40/50: Loss=0.4495, Train Acc=99.93%, Val Acc=98.26%
  Epoch 41/50: Loss=0.4490, Train Acc=99.93%, Val Acc=98.34%
  Epoch 42/50: Loss=0.4490, Train Acc=99.95%, Val Acc=98.34%
  Epoch 43/50: Loss=0.4486, Train Acc=99.95%, Val Acc=98.41%
  Epoch 44/50: Loss=0.4482, Train Acc=99.97%, Val Acc=98.26%
  Epoch 45/50: Loss=0.4481, Train Acc=99.98%, Val Acc=98.34%
  Epoch 46/50: Loss=0.4480, Train Acc=100.00%, Val Acc=98.34%
  Epoch 47/50: Loss=0.4478, Train Acc=100.00%, Val Acc=98.41%
  Epoch 48/50: Loss=0.4481, Train Acc=99.99%, Val Acc=98.26%
  Epoch 49/50: Loss=0.4479, Train Acc=100.00%, Val Acc=98.34%
  Epoch 50/50: Loss=0.4480, Train Acc=99.98%, Val Acc=98.41%
  Best Val Acc: 98.41%, Test Acc: 98.19%
  Training Time: 4.9 minutes

Results saved to: results/student_baseline/baseline_results.json
Report saved to: results/student_baseline/baseline_report.md
